topic,h,p,v,ja,jt,hv
🌦 Thời tiết & thiên nhiên,山,shān,núi,山(やま)・cùng nghĩa,same,sơn
🌦 Thời tiết & thiên nhiên,河,hé,sông,河(かわ)・cùng nghĩa,same,hà
🌦 Thời tiết & thiên nhiên,海,hǎi,biển,海(うみ)・cùng nghĩa,same,hải
🌦 Thời tiết & thiên nhiên,树,shù,cây,樹(き/じゅ)・cùng nghĩa,same,thụ
🎭 Giải trí & sở thích,电影,diànyǐng,phim điện ảnh,映画(えいが)・tiếng Nhật dùng chữ khác,diff,điện ảnh
🎭 Giải trí & sở thích,音乐,yīnyuè,âm nhạc,音楽(おんがく)・cùng nghĩa!,same,âm nhạc
🎭 Giải trí & sở thích,歌,gē,bài hát,歌(うた)・cùng nghĩa,same,ca
🎭 Giải trí & sở thích,舞蹈,wǔdǎo,"khiêu vũ, múa",,,vũ đạo
🎭 Giải trí & sở thích,体育,tǐyù,"thể dục, thể thao",体育(たいいく)・cùng nghĩa!,same,thể dục
🎭 Giải trí & sở thích,运动,yùndòng,"vận động, thể thao",運動(うんどう)・cùng nghĩa!,same,vận động
